Object Number,Mnemonic,Classification,Artist,Alpha Sort,Title Sort,Date,Begin Date,Medium,Dimensions,Extended Medium,Credit Line
31.2a-b,PC,Sculpture,S.F. Bilotti,Bilotti S.F.,Lawrence Fellows,-1918,1918,Bronze,"Overall: 11 9/16 x 7 11/16 x 10 1/2in. (29.4 x 19.6 x 26.7 cm)
Overall (with base): 20 9/16 x 7 5/8 x 10 1/2in. (52.2 x 19.4 x 26.7 cm)",,Gift of Gertrude Vanderbilt Whitney
31.3,PC,Sculpture,Lucile Swan Blum,Blum Lucile Swan,The Chinaman,1916,1916,Bronze,Overall: 13 3/4in. (34.9 cm),,Gift of Gertrude Vanderbilt Whitney
31.4a-b,PC,Sculpture,Julian Bowes,Bowes Julian,George Bellows,-1924,1924,Bronze on marble base,"Overall: 13 13/16 x 7 15/16 x 9 1/8in. (35.1 x 20.2 x 23.2 cm)
Overall (with base): 19 3/4 x 8 3/4 x 10in. (50.2 x 22.2 x 25.4 cm)",,Purchase
31.5,PC,Sculpture,Elizabeth Chase,Chase Elizabeth,Group,n.d.,0,Pewter,Overall: 10 3/4in. (27.3 cm),,Purchase
31.6a-b,PC,Sculpture,Elizabeth Chase,Chase Elizabeth,Head of a Woman,-1925,1925,Plaster on wood base,"Overall: 13 3/4 x 8 3/8 x 8 3/4in. (34.9 x 21.3 x 22.2 cm)
Overall (with base): 17 3/8 x 8 5/8 x 8 3/4in. (44.1 x 21.9 x 22.2 cm)",,Purchase
31.7a-b,PC,Sculpture,Allan Clark,Clark Allan,Study for Garden Pool,1927,1927,Gilded tin-plated bronze on stone base,"Overall: 17 5/8 x 15 5/8 x 7 1/8in. (44.8 x 39.7 x 18.1 cm)
Overall (with base): 18 1/2 x 15 5/8 x 7 1/8in. (47 x 39.7 x 18.1 cm)",,Purchase
31.8a-b,PC,Sculpture,Henry Clews,Clews Henry,Portrait of Sam,1911,1911,Bronze with marble base,"Overall: 12 1/4 x 7 7/8 x 9 1/4in. (31.1 x 20 x 23.5 cm)
Overall (with base): 19 1/4 x 7 7/8 x 9 1/4in. (48.9 x 20 x 23.5 cm)",,Gift of Gertrude Vanderbilt Whitney
31.9a-b,PC,Sculpture,Jo Davidson,Davidson Jo,Kneeling Woman,1910,1910,Bronze on stone base,"Overall: 14 7/8 x 6 3/8 x 8 3/4in. (37.8 x 16.2 x 22.2 cm)
Overall (with base): 16 1/4 x 6 7/16 x 9in. (41.3 x 16.4 x 22.9 cm)",,Gift of Gertrude Vanderbilt Whitney
31.1,PC,Sculpture,Jo Davidson,Davidson Jo,Japanese Girl,(c. 1910),1910,Stone,Overall: 19 5/8 x 10 3/4 x 10 1/2in. (49.8 x 27.3 x 26.7 cm),Caen stone,Gift of Gertrude Vanderbilt Whitney
31.11,PC,Sculpture,Jo Davidson,Davidson Jo,Nude,1910,1910,Bronze,Overall: 25 x 9 x 9 3/4in. (63.5 x 22.9 x 24.8 cm),,Gift of Gertrude Vanderbilt Whitney
