Last Name,First Name,Display Name,Begin Date,End Date,Display Date,City,State,Country,Subcontinent,Continent,ConstituentID,latitude,longitude,geonameId,WhitneyUrl,"[latitude,longitude]",
Adams,Kenneth M.,Kenneth M. Adams,1897,1966,1897-1966,Topeka,Kansas,United States of America,Central North America,North America,3,39.04833,-95.67804,4280539,"<a target=""_blank"" href=""http://collection.whitney.org/artist/3"">Whitney.org</a>","[39.04833,-95.67804]","[39.04833,-95.67804]"
Archer,Edmund,Edmund Archer,1904,1986,1904-1986,Richmond,Virginia,United States of America,Central North America,North America,26,37.55376,-77.46026,4781708,"<a target=""_blank"" href=""http://collection.whitney.org/artist/26"">Whitney.org</a>","[37.55376,-77.46026]","[37.55376,-77.46026]"
Atherton,John,John Atherton,1900,1952,1900-1952,Brainerd,Minnesota,United States of America,Central North America,North America,35,46.35802,-94.20083,5019116,"<a target=""_blank"" target=""_blank"" href=""http://collection.whitney.org/artist/35"">Whitney.org</a>","[46.35802,-94.20083]","[46.35802,-94.20083]"
Ault,George C.,George C. Ault,1891,1948,1891-1948,Cleveland,Ohio,United States of America,Central North America,North America,36,41.4995,-81.69541,5150529,"<a target=""_blank"" href=""http://collection.whitney.org/artist/36"">Whitney.org</a>","[41.4995,-81.69541]","[41.4995,-81.69541]"
Bacon,Peggy,Peggy Bacon,1895,1987,1895-1987,Ridgefield,Connecticut,United States of America,Central North America,North America,44,41.28148,-73.49818,4841463,"<a target=""_blank"" href=""http://collection.whitney.org/artist/44"">Whitney.org</a>","[41.28148,-73.49818]","[41.28148,-73.49818]"
Baizerman,Saul,Saul Baizerman,1889,1957,1889-1957,Vitebsk,,Belarus,Eurasia,,52,55.1904,30.2049,620127,"<a target=""_blank"" href=""http://collection.whitney.org/artist/52"">Whitney.org</a>","[55.1904,30.2049]","[55.1904,30.2049]"
Bakos,Jozef G.,Jozef G. Bakos,1891,1977,1891-1977,Buffalo,New York,United States of America,Central North America,North America,54,42.88645,-78.87837,5110629,"<a target=""_blank"" href=""http://collection.whitney.org/artist/54"">Whitney.org</a>","[42.88645,-78.87837]","[42.88645,-78.87837]"
Barthé,Richmond,Richmond Barthé,1901,1989,1901-1989,Bay St.Louis,Mississippi,United States of America,Central North America,North America,8220,30.30881,-89.33005,4417205,"<a target=""_blank"" href=""http://collection.whitney.org/artist/8220"">Whitney.org</a>","[30.30881,-89.33005]","[30.30881,-89.33005]"
Baum,Mark,Mark Baum,1903,1997,1903-1997,Sanok,,Poland,Central Europe,Europe,72,49.55573,22.2056,759591,"<a target=""_blank"" href=""http://collection.whitney.org/artist/72"">Whitney.org</a>","[49.55573,22.2056]","[49.55573,22.2056]"
Beal,Gifford,Gifford R. Beal,1879,1956,1879-1956,New York City,New York,United States of America,Central North America,North America,77,40.71427,-74.00597,5128581,"<a target=""_blank"" href=""http://collection.whitney.org/artist/77"">Whitney.org</a>","[40.71427,-74.00597]","[40.71427,-74.00597]"
Beatty,John W.,John W. Beatty,1851,1924,1851-1924,Pittsburgh,Pennsylvania,United States of America,Central North America,North America,82,40.44062,-79.99589,5206379,"<a target=""_blank"" href=""http://collection.whitney.org/artist/82"">Whitney.org</a>","[40.44062,-79.99589]","[40.44062,-79.99589]"
Beaux,Cecilia,Cecilia Beaux,1863,1942,1863-1942,Philadelphia,Pennsylvania,United States of America,Central North America,North America,85,39.95233,-75.16379,4560349,"<a target=""_blank"" href=""http://collection.whitney.org/artist/85"">Whitney.org</a>","[39.95233,-75.16379]","[39.95233,-75.16379]"
Bell,Cecil C.,Cecil C. Bell,1906,1970,1906-1970,Seattle,Washington,United States of America,Central North America,North America,92,47.60621,-122.33207,5809844,"<a target=""_blank"" href=""http://collection.whitney.org/artist/92"">Whitney.org</a>","[47.60621,-122.33207]","[47.60621,-122.33207]"
Bellows,George,George Bellows,1882,1925,1882-1925,Columbus,Ohio,United States of America,,North America,94,39.96118,-82.99879,4509177,"<a target=""_blank"" href=""http://collection.whitney.org/artist/94"">Whitney.org</a>","[39.96118,-82.99879]","[39.96118,-82.99879]"
Benn,Ben,Ben Benn,1884,1983,1884-1983,Bialystock,,Poland,Eastern Europe,Europe,98,53.13333,23.16433,776069,"<a target=""_blank"" href=""http://collection.whitney.org/artist/98"">Whitney.org</a>","[53.13333,23.16433]","[53.13333,23.16433]"
Benton,Thomas Hart,Thomas Hart Benton,1889,1975,1889-1975,Neosho,Missouri,United States of America,Central North America,North America,101,36.80659,-94.39114,4400184,"<a target=""_blank"" href=""http://collection.whitney.org/artist/101"">Whitney.org</a>","[36.80659,-94.39114]","[36.80659,-94.39114]"
Berman,Eugene,Eugene Berman,1899,1972,1899-1972,Saint Petersburg,,Russia,Eurasia,,105,59.93863,30.31413,498817,"<a target=""_blank"" href=""http://collection.whitney.org/artist/105"">Whitney.org</a>","[59.93863,30.31413]","[59.93863,30.31413]"
Berresford,Virginia,Virginia Berresford,1904,1995,1904-1995,New Rochelle,New York,United States of America,Central North America,North America,107,40.91149,-73.78235,5128549,"<a target=""_blank"" href=""http://collection.whitney.org/artist/107"">Whitney.org</a>","[40.91149,-73.78235]","[40.91149,-73.78235]"
Bianco,Pamela,Pamela Bianco,1906,1995,1906-1995,London,,England,Great Britain,Europe,112,51.50853,-0.12574,2643743,"<a target=""_blank"" href=""http://collection.whitney.org/artist/112"">Whitney.org</a>","[51.50853,-0.12574]","[51.50853,-0.12574]"
Biddle,George,George Biddle,1885,1973,1885-1973,Philadelphia,Pennsylvania,United States of America,Central North America,North America,113,39.95234,-75.16379,4560349,"<a target=""_blank"" href=""http://collection.whitney.org/artist/113"">Whitney.org</a>","[39.95234,-75.16379]","[39.95234,-75.16379]"
Billings,Henry,Henry Billings,1901,1987,1901-1987,Bronxville,New York,United States of America,Central North America,North America,117,40.93815,-73.83208,5110269,"<a target=""_blank"" href=""http://collection.whitney.org/artist/117"">Whitney.org</a>","[40.93815,-73.83208]","[40.93815,-73.83208]"
Bishop,Isabel,Isabel Bishop,1902,1988,1902-1988,Cincinnati,Ohio,United States of America,Central North America,North America,122,39.162,-84.45689,4508722,"<a target=""_blank"" href=""http://collection.whitney.org/artist/122"">Whitney.org</a>","[39.162,-84.45689]","[39.162,-84.45689]"
Blanch,Arnold,Arnold Blanch,1896,1968,1896-1968,Mantorville,Minnesota,United States of America,Central North America,North America,125,44.06913,-92.75575,5036461,"<a target=""_blank"" href=""http://collection.whitney.org/artist/125"">Whitney.org</a>","[44.06913,-92.75575]","[44.06913,-92.75575]"
Blanch,Lucile,Lucile Blanch,1895,1981,1895-1981,Hawley,Minnesota,United States of America,Central North America,North America,126,46.88079,-96.31673,5029570,"<a target=""_blank"" href=""http://collection.whitney.org/artist/126"">Whitney.org</a>","[46.88079,-96.31673]","[46.88079,-96.31673]"
Bloch,Julius,Julius Bloch,1888,1966,1888-1966,Kehl,,Germany,Central Europe,Europe,130,48.57297,7.81523,2891951,"<a target=""_blank"" href=""http://collection.whitney.org/artist/130"">Whitney.org</a>","[48.57297,7.81523]","[48.57297,7.81523]"
Bluemner,Oscar,Oscar Bluemner,1867,1938,1867-1938,Prenzlau,,Germany,Central Europe,Europe,133,53.31625,13.86261,2852218,"<a target=""_blank"" href=""http://collection.whitney.org/artist/133"">Whitney.org</a>","[53.31625,13.86261]","[53.31625,13.86261]"
Blum,Jerome,Jerome Blum,1884,1956,1884-1956,Chicago,Illinois,United States of America,Central North America,North America,135,41.85003,-87.65005,4887398,"<a target=""_blank"" href=""http://collection.whitney.org/artist/135"">Whitney.org</a>","[41.85003,-87.65005]","[41.85003,-87.65005]"
Blume,Peter,Peter Blume,1906,1992,1906-1992,Smarhon,,Belarus,Eurasia,,138,54.4798,26.3957,621713,"<a target=""_blank"" href=""http://collection.whitney.org/artist/138"">Whitney.org</a>","[54.4798,26.3957]","[54.4798,26.3957]"
Bohrod,Aaron,Aaron Bohrod,1907,1992,1907-1992,Chicago,Illinois,United States of America,Central North America,North America,144,41.85003,-87.65005,4887398,"<a target=""_blank"" href=""http://collection.whitney.org/artist/144"">Whitney.org</a>","[41.85003,-87.65005]","[41.85003,-87.65005]"
Borie,Adolphe,Adolphe Borie,1877,1934,1877-1934,Philadelphia,Pennsylvania,United States of America,Central North America,North America,149,39.95234,-75.16379,4560349,"<a target=""_blank"" href=""http://collection.whitney.org/artist/149"">Whitney.org</a>","[39.95234,-75.16379]","[39.95234,-75.16379]"
