Last Name,First Name,Display Name,Begin Date,End Date,Display Date,City ,State,Country,Subcontinent,Continen,ConstituentID
Adams,Kenneth M.,Kenneth M. Adams,"1,897","1,966",1897-1966,Topeka,Kansas,United States of America,Central North America,North America,3
Archer,Edmund,Edmund Archer,"1,904","1,986",1904-1986,Richmond,Virginia,United States of America,Central North America,North America,26
Atherton,John,John Atherton,"1,900","1,952",1900-1952,Brainerd,Minnesota,United States of America,Central North America,North America,35
Ault,George C.,George C. Ault,"1,891","1,948",1891-1948,Cleveland,Ohio,United States of America,Central North America,North America,36
Bacon,Peggy,Peggy Bacon,"1,895","1,987",1895-1987,Ridgefield,Connecticut,United States of America,Central North America,North America,44
Baizerman,Saul,Saul Baizerman,"1,889","1,957",1889-1957,Vitebsk,Belorussia,Russia,Eurasia,,52
Bakos,Jozef G.,Jozef G. Bakos,"1,891","1,977",1891-1977,Buffalo,New York,United States of America,Central North America,North America,54
Barthé,Richmond,Richmond Barthé,"1,901","1,989",1901-1989,Bay St.Louis,Mississippi,United States of America,Central North America,North America,"8,220"
Baum,Mark,Mark Baum,"1,903","1,997",1903-1997,Sanolk,,Poland,Central Europe,Europe,72
Beal,Gifford,Gifford R. Beal,"1,879","1,956",1879-1956,New York,New York,United States of America,Central North America,North America,77
Beatty,John W.,John W. Beatty,"1,851","1,924",1851-1924,Pittsburgh,Pennsylvania,United States of America,Central North America,North America,82
Beaux,Cecilia,Cecilia Beaux,"1,863","1,942",1863-1942,Philadelphia,Pennsylvania,United States of America,Central North America,North America,85
Bell,Cecil C.,Cecil C. Bell,"1,906","1,970",1906-1970,Seattle,Washington,United States of America,Central North America,North America,92
Bellows,George,George Bellows,"1,882","1,925",1882-1925,Columbus,Ohio,United States of America,,North America,94
Benn,Ben,Ben Benn,"1,884","1,983",1884-1983,(not specified),,Ukraine,Eurasia,,98
Benton,Thomas Hart,Thomas Hart Benton,"1,889","1,975",1889-1975,Neosho,Missouri,United States of America,Central North America,North America,101
Berman,Eugene,Eugene Berman,"1,899","1,972",1899-1972,Leningrad,,Russia,Eurasia,,105
Berresford,Virginia,Virginia Berresford,"1,904","1,995",1904-1995,New Rochelle,New York,United States of America,Central North America,North America,107
