Last Name,First Name,Display Name,Begin Date,End Date,Display Date,City,State,Country,Subcontinent,Continen,ConstituentID,ULAN,
Adams,Kenneth M.,Kenneth M. Adams,1897,1966,1897-1966,Albuquerque,New Mexico,United States of America,,North America,3,,
Archer,Edmund,Edmund Archer,1904,1986,1904-1986,Richmond,Virginia,United States of America,Central North America,North America,26,,
Atherton,John,John Atherton,1900,1952,1900-1952,,New Brunswick,Canada,,North America,35,,
Ault,George C.,George C. Ault,1891,1948,1891-1948,Woodstock,New York,United States of America,Central North America,North America,36,,
Bacon,Peggy,Peggy Bacon,1895,1987,1895-1987,Cape Porpoise,Maine,United States of America,Central North America,North America,44,,
Baizerman,Saul,Saul Baizerman,1889,1957,1889-1957,New York City,New York,United States of America,Central North America,North America,52,,
Bakos,Jozef G.,Jozef G. Bakos,1891,1977,1891-1977,,,,,,54,,
Barthé,Richmond,Richmond Barthé,1901,1989,1901-1989,Pasadena,California,United States of America,Central North America,North America,8220,,
Baum,Mark,Mark Baum,1903,1997,1903-1997,Cape Neddick,Maine,United States of America,Central North America,North America,72,,
Beal,Gifford,Gifford R. Beal,1879,1956,1879-1956,New York City,New York,United States of America,Central North America,North America,77,,
Beatty,John W.,John W. Beatty,1851,1924,1851-1924,Clifton Springs,New York,United States of America,Central North America,North America,82,,
Beaux,Cecilia,Cecilia Beaux,1863,1942,1863-1942,Gloucester,Massachusetts,United States of America,Central North America,North America,85,,
Bell,Cecil C.,Cecil C. Bell,1906,1970,1906-1970,New York City,New York,United States of America,Central North America,North America,92,,
Bellows,George,George Bellows,1882,1925,1882-1925,New York City,New York,United States of America,,North America,94,,
Benn,Ben,Ben Benn,1884,1983,1884-1983,New York City,New York,United States of America,Central North America,North America,98,,
Benton,Thomas Hart,Thomas Hart Benton,1889,1975,1889-1975,Kansas City,Missouri,United States of America,Central North America,North America,101,,
Berman,Eugene,Eugene Berman,1899,1972,1899-1972,Rome,,Italy,,Europe,105,,
Berresford,Virginia,Virginia Berresford,1904,1995,1904-1995,Martha's Vineyard,Massachusetts,United States of America,Central North America,North America,107,,
Bianco,Pamela,Pamela Bianco,1906,1995,1906-1995,New York City,New York,United States of America,,North America,112,,
Biddle,George,George Biddle,1885,1973,1885-1973,Croton-on-Hudson,New York,United States of America,Central North America,North America,113,,
Billings,Henry,Henry Billings,1901,1987,1901-1987,Sag Harbor,New York,United States of America,Central North America,North America,117,,
Bishop,Isabel,Isabel Bishop,1902,1988,1902-1988,New York City,New York,United States of America,Central North America,North America,122,,
Blanch,Arnold,Arnold Blanch,1896,1968,1896-1968,Woodstock,New York,United States of America,,North America,125,,
Blanch,Lucile,Lucile Blanch,1895,1981,1895-1981,Macon,Georgia,United States of America,,North America,126,,
Bloch,Julius,Julius Bloch,1888,1966,1888-1966,Philadelphia,Pennsylvania,United States of America,Central North America,North America,130,,
Bluemner,Oscar,Oscar Bluemner,1867,1938,1867-1938,Braintree,Massachusetts,United States of America,Central North America,North America,133,,
Blum,Jerome,Jerome Blum,1884,1956,1884-1956,Poughkeepsie,New York,United States of America,,North America,135,,
Blume,Peter,Peter Blume,1906,1992,1906-1992,New Milford,Connecticut,United States of America,Central North America,North America,138,,
Bohrod,Aaron,Aaron Bohrod,1907,1992,1907-1992,Madison,Wisconsin,United States of America,Central North America,North America,144,,
Borie,Adolphe,Adolphe Borie,1877,1934,1877-1934,Philadelphia,Pennsylvania,United States of America,,North America,149,,
Bouché,Louis,Louis Bouché,1869,1969,1869-1969,Pittsfield,Massachusetts,United States of America,,North America,155,,
Bowes,Julian,Julian Bowes,1894,0,1894-,,,,,,160,,
Boyd,Fiske,Fiske Boyd,1895,1975,1895-1975,Summit,New Jersey,United States of America,,North America,163,,
Braught,Ross,Ross Braught,1898,1983,1898-1983,Philadelphia,Pennsylvania,United States of America,,North America,168,,
Brook,Alexander,Alexander Brook,1898,1980,1898-1980,Long Island,New York,United States of America,,North America,180,,
Brooks,James,James Brooks,1906,1992,1906-1992,New York City,New York,United States of America,,North America,181,,
Brown,Sonia Gordon,Sonia Gordon Brown,1894,1966,1894-1966,Florence,,Italy,,Europe,186,,
Bruce,Edward,Edward Bruce,1879,1943,1879-1943,New York City,New York,United States of America,,North America,189,,
Buller,Audrey,Audrey Buller,1902,1984,1902-1984,Little Compton,Rhode Island,United States of America,,North America,194,,
Burchfield,Charles,Charles Burchfield,1893,1967,1893-1967,West Seneca,New York,United States of America,Central North America,North America,197,,
Burck,Jacob,Jacob Burck,1904,1982,1904-1982,Chicago,Illinois,United States of America,Central North America,North America,198,,
Burkhard,Henri,Henri Burkhard,1882,1956,1882-1956,New York City,New York,United States of America,,North America,199,,
Burlin,Paul,Paul Burlin,1886,1969,1886-1969,New York City,New York,United States of America,,North America,200,,
Burliuk,David,David Burliuk,1882,1967,1882-1967,Southampton,New York,United States of America,,North America,201,,
Burroughs,Bryson,Bryson Burroughs,1869,1934,1869-1934,New York City,New York,United States of America,,North America,203,,
